Page_ID,Title,Section,Lesson,Lesson_Number,Page_in_Lesson,Total_Pages_in_Lesson,Is_First_Page,Is_Last_Page,Lesson_URL,Content_Type
26,Section 1: Introduction (Lesson 1) - Page 9,Section 1,Lesson 1,1.0,9.0,16.0,False,False,,Educational Content
27,Section 1: Introduction (Lesson 1) - Page 10,Section 1,Lesson 1,1.0,10.0,16.0,False,False,,Educational Content
28,Section 1: Introduction (Lesson 1) - Page 11,Section 1,Lesson 1,1.0,11.0,16.0,False,False,,Educational Content
29,Section 1: Introduction (Lesson 1) - Page 12,Section 1,Lesson 1,1.0,12.0,16.0,False,False,,Educational Content
30,Section 1: Introduction (Lesson 1) - Page 13,Section 1,Lesson 1,1.0,13.0,16.0,False,False,,Educational Content
31,Section 1: Introduction (Lesson 1) - Page 14,Section 1,Lesson 1,1.0,14.0,16.0,False,False,,Educational Content
32,Section 1: Introduction (Lesson 1) - Page 15,Section 1,Lesson 1,1.0,15.0,16.0,False,False,,Educational Content
33,Section 1: Introduction (Lesson 1) - Summary,Section 1,Lesson 1,1.0,16.0,16.0,False,True,,Lesson Summary
34,Section 2: Safety Planning (Lesson 2),Section 2,Lesson 2,2.0,1.0,13.0,True,False,lesson02/02_001.htm,Section Introduction
35,Section 2: Safety Planning (Lesson 2) - Page 2,Section 2,Lesson 2,2.0,2.0,13.0,False,False,,Safety Content
36,Section 2: Safety Planning (Lesson 2) - Page 3,Section 2,Lesson 2,2.0,3.0,13.0,False,False,,Safety Content
37,Section 2: Safety Planning (Lesson 2) - Page 4,Section 2,Lesson 2,2.0,4.0,13.0,False,False,,Safety Content
38,Section 2: Safety Planning (Lesson 2) - Page 5,Section 2,Lesson 2,2.0,5.0,13.0,False,False,,Safety Content
39,Section 2: Safety Planning (Lesson 2) - Page 6,Section 2,Lesson 2,2.0,6.0,13.0,False,False,,Safety Content
40,Section 2: Safety Planning (Lesson 2) - Page 7,Section 2,Lesson 2,2.0,7.0,13.0,False,False,,Safety Content
41,Section 2: Safety Planning (Lesson 2) - Page 8,Section 2,Lesson 2,2.0,8.0,13.0,False,False,,Safety Content
42,Section 2: Safety Planning (Lesson 2) - Page 9,Section 2,Lesson 2,2.0,9.0,13.0,False,False,,Safety Content
43,Section 2: Safety Planning (Lesson 2) - Page 10,Section 2,Lesson 2,2.0,10.0,13.0,False,False,,Safety Content
44,Section 2: Safety Planning (Lesson 2) - Page 11,Section 2,Lesson 2,2.0,11.0,13.0,False,False,,Safety Content
